City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bardai,11.65,7.2333,24.3,65,87,2.36,NG,1697591380
83,kendari,-3.945,122.4989,30.69,56,37,1.45,ID,1697591376
84,west island,-12.1568,96.8225,25.99,83,40,5.66,CC,1697591380
85,udachny,66.4167,112.4,-9.75,85,89,5.43,RU,1697591381
86,bredasdorp,-34.5322,20.0403,14.23,94,0,1.78,ZA,1697591381
87,newcastle,-32.9272,151.7765,20.87,54,40,5.66,AU,1697591381
88,el granada,37.5027,-122.4694,25.58,86,100,11.32,US,1697591381
89,luderitz,-26.6481,15.1594,18.42,62,0,4.11,NA,1697591382
90,novodvinsk,64.4165,40.8122,3.77,78,100,4.3,RU,1697591382
91,kapa'a,22.0752,-159.319,28.18,69,75,3.6,US,1697591382
92,ilulissat,69.2167,-51.1,-8.99,73,100,3.09,GL,1697591382
93,kristiansund,63.1115,7.732,6.36,87,100,1.03,NO,1697591383
94,whitehorse,60.7161,-135.0538,9.06,77,100,2.68,CA,1697591366
95,crucecita,-28.95,-58.9833,18.04,89,100,5.9,AR,1697591383
96,junin de los andes,-39.9504,-71.0694,12.08,30,0,1.99,AR,1697591383
97,xilin hot,43.9667,116.0333,6.49,34,20,7.9,CN,1697591122
98,atafu village,-8.5421,-172.5159,28.5,73,100,2.81,TK,1697591384
99,moissala,8.3404,17.7663,23.25,86,90,1.78,TD,1697591358
100,kone,-21.0595,164.8658,26.57,66,42,4.44,NC,1697591384
101,longyearbyen,78.2186,15.6401,-9.43,79,96,0.93,SJ,1697591384
102,copsa mica,46.1167,24.25,1.01,61,100,1.02,RO,1697591385
103,bonthe,7.5264,-12.505,24.41,90,97,2.09,SL,1697591385
104,hammerfest,70.6634,23.6821,0.25,86,100,2.06,NO,1697591385
105,khandyga,62.6667,135.6,-4.69,69,100,0.63,RU,1697591385
106,adilcevaz,38.8039,42.7342,11.41,66,88,2.18,TR,1697591386
107,greenville,35.6127,-77.3663,14.52,89,100,0.0,US,1697591386
108,lebu,-37.6167,-73.65,10.62,89,3,5.3,CL,1697591386
109,ghadamis,30.1337,9.5007,24.85,18,78,4.77,LY,1697591386
110,codrington,-38.2667,141.9667,20.48,44,7,3.73,AU,1697591387
111,papao,-17.75,-149.55,28.82,83,89,7.32,PF,1697591387
112,mejit,10.2753,170.8646,27.95,77,31,5.88,MH,1697591387
113,daru,-9.0763,143.2092,27.29,78,88,4.27,PG,1697591387
114,qamdo,31.1667,97.2333,0.88,49,0,2.93,CN,1697591119
115,georgetown,5.4112,100.3354,27.75,83,20,1.54,MY,1697591388
